date,close
2025-03-03,44.07
2025-03-04,43.96
2025-03-05,44.05
2025-03-06,44.15
2025-03-07,44.33
2025-03-10,44.07
2025-03-11,44.39
2025-03-12,44.64
2025-03-13,44.54
2025-03-14,44.44
2025-03-17,44.35
2025-03-18,44.28
2025-03-19,44.09
2025-03-20,43.93
2025-03-21,43.80
2025-03-24,43.29
2025-03-25,43.40
2025-03-26,43.43
2025-03-27,43.28
2025-03-28,43.79
2025-03-31,43.60
2025-04-01,44.25
2025-04-02,44.45
2025-04-03,44.38
2025-04-04,44.55
2025-04-07,44.68
2025-04-08,44.76
2025-04-09,44.80
2025-04-10,44.59
2025-04-11,44.76
2025-04-14,44.52
2025-04-15,44.83
2025-04-16,44.86
2025-04-17,44.84
2025-04-18,44.88
2025-04-21,45.14
2025-04-22,45.50
2025-04-23,45.66
2025-04-24,45.64
2025-04-25,45.75
2025-04-28,45.44
2025-04-29,45.54
2025-04-30,44.89
2025-05-01,44.65
2025-05-02,44.63
2025-05-05,44.15
2025-05-06,43.63
2025-05-07,43.61
2025-05-08,43.42
2025-05-09,43.15
2025-05-12,43.20
2025-05-13,43.08
2025-05-14,42.85
2025-05-15,42.72
2025-05-16,42.59
2025-05-19,42.29
2025-05-20,42.01
2025-05-21,42.00
2025-05-22,41.36
2025-05-23,41.32
2025-05-26,40.93
2025-05-27,40.96
2025-05-28,40.59
2025-05-29,40.71
2025-05-30,40.91
2025-06-02,41.03
2025-06-03,41.39
2025-06-04,41.49
2025-06-05,41.85
2025-06-06,41.82
2025-06-09,41.81
2025-06-10,41.74
2025-06-11,41.98
2025-06-12,41.67
2025-06-13,41.88
2025-06-16,41.82
2025-06-17,41.79
2025-06-18,41.79
2025-06-19,41.82
2025-06-20,42.09
2025-06-23,42.33
2025-06-24,42.54
2025-06-25,42.60
2025-06-26,42.97
2025-06-27,42.75
2025-06-30,42.74
2025-07-01,42.56
2025-07-02,42.56
2025-07-03,42.53
2025-07-04,41.97
2025-07-07,41.90
2025-07-08,41.85
2025-07-09,41.69
2025-07-10,41.46
2025-07-11,41.66
2025-07-14,41.84
2025-07-15,41.79
2025-07-16,41.97
2025-07-17,41.97
2025-07-18,42.23
2025-07-21,42.12
2025-07-22,42.16
2025-07-23,41.92
2025-07-24,42.12
2025-07-25,41.97
2025-07-28,42.03
2025-07-29,42.23
2025-07-30,42.28
2025-07-31,42.43
2025-08-01,42.73
2025-08-04,43.56
2025-08-05,43.70
2025-08-06,44.13
2025-08-07,44.59
2025-08-08,44.87
2025-08-11,45.30
2025-08-12,45.54
2025-08-13,45.72
2025-08-14,45.68
2025-08-15,45.62
2025-08-18,45.82
2025-08-19,46.07
2025-08-20,46.32
2025-08-21,46.20
2025-08-22,46.42
2025-08-25,46.54
2025-08-26,46.90
2025-08-27,47.32
2025-08-28,47.41
2025-08-29,47.39
2025-09-01,47.38
2025-09-02,47.12
2025-09-03,46.98
2025-09-04,46.89
2025-09-05,46.54
2025-09-08,46.38
2025-09-09,46.37
2025-09-10,45.81
2025-09-11,45.77
2025-09-12,45.98
2025-09-15,45.91
2025-09-16,45.97
2025-09-17,46.39
2025-09-18,46.25
2025-09-19,46.63
2025-09-22,46.37
2025-09-23,46.55
2025-09-24,46.56
2025-09-25,46.51
2025-09-26,46.17
2025-09-29,46.00
2025-09-30,46.00
2025-10-01,46.38
2025-10-02,46.36
2025-10-03,46.41
